id,active,status,approvedDate,title,summary,themeName,activities,longTermImpact,need,contactCountry,contactCity,contactState,funding,goal,remaining,numberOfDonations,numberOfReports,dateOfMostRecentReport,modifiedDate,theme > name,image > imagelink
182,false,funded,2003-07-29T14:15:25-04:00,Safe Water & Latrines for Village in Philippines,Enable the community of Barangay Sab-a to improve their health and use their time for economic development by building and maintaining a sustainable safe water & sanitation system.,Physical Health,Ensure that residents use improved hygiene practices; provide enough safe water to meet every resident’s needs; ensure that every household has access to a latrine; and ensure a lasting water supply by protecting the new water sources.,Provide long last water supplies for the 661 residents of Barangay Sab.,"The 661 residents of Barangay Sab-a struggle to meet their daily water needs.  Women and children must walk an hour to the nearest water source. Latrine usage is poor, contributing to a high incidence of diarrhea. Barangay Sab-a can pay some of the capital costs of and all maintenance costs for a new water system. Our Philippine partner organization will work with the people of Barangay Sab-a to develop and implement a sustainable community water supply and sanitation system.",United States,Columbia,Missouri,1290.40,15400.00,14109.60,31,1,2006-07-14T16:54:27-04:00,2021-11-25T02:23:12-05:00,Physical Health;Clean Water,6
774,false,funded,2004-08-03T15:15:09-04:00,Kalinga Mission (KAMICYDI),"The project focuses on the promotion of a sustainable agricultural technology, led and devised by indigenous peoples in the Philippines.",Climate Action,"Forest protection, reforestation and maintenance through FITU Technology, a forest management technology; Watershed reforestation using the PINAGWA System; Repair, rehab and construction of new irrigation systems; Advocacy and partnerships","This project’s activities have provided and secured, for the UMILI or Kalinga indigenous peoples, a sustainable food supply and has lifted living conditions.",The Sustainable Indigenous Peoples Agricultural Technology (SIPAT) which is the major focus of KAMICYDI incorporates an environmentally friendly and proven technology that has been used since time immemorial and has been effective in providing enough food for the Kalinga indigenous peoples and other indigenous peoples in the Cordillera.,United States,New York,New York,980.40,5000.00,4019.60,62,0,,2021-11-25T02:23:14-05:00,Climate Action;Ecosystem Restoration;Sustainable Agriculture,6
815,false,retired,2004-09-24T13:05:11-04:00,E-Commerce for Farmers Program,The Program bridges the digital divide for farmers and fisherfolks in the countryside by providing them non-traditional livelihood through the use and sale of IT products and services.,Digital Literacy,"Training of Cooperatives on the establishment of b2bcenters (2)Establishment of b2bcenters in premises of cooperatives (3)Training the cooperative in utilizing the centers for trading, knowledge dissemination, and enterprise development.","The program aims to develop the economic capability of farmers and fisherfolks through their cooperatives. The program educates cooperatives to own and managed business centers in their municipality, and aims to establish 1,500 b2bcenters nationwide.",The Philippines and other agriculture-based economies have poor content and IT infrastructure that cater to farmers and fisherfolks in the countryside. Only 3-5% of the country’s agriculture sector is digitally literate. The benefits and opportunities brought about by the new economy must be experienced by these farmers and fisherfolks.  B2bpricenow.com’s E-commerce for Farmers Program is addressing both the lack of Content and IT Connectivity that is badly needed by the agriculture sector,Philippines,Makati City,Metro Manila,640.40,24000.00,23359.60,30,0,,2021-11-25T02:23:14-05:00,Digital Literacy,6
828,false,retired,2004-10-26T13:15:49-04:00,New Employment Opportunities for Filipino Youth,Engineers Without Borders' Scala Program improves the employment opportunities for underprivileged Filipino youth by establishing Computer Livelihood Training Centers (CLTCs).,Digital Literacy,"In the past 3 years, EWB established 15 award-winning CLTCs that combine holistic programming and financial sustainability. Over the next 2 years, we will send 6 volunteers and 250 computers to build our partner’s capacity and set-up more centers.","Outcomes include a DSWD team who is capable of implementing, monitoring and improving centers independently of EWB. By creating this team, we will set-up 12 CLTCs which will double our capacity to 3000 youth/year with an expected 30% employment rate.","Youth comprise half the Philippines’ workforce. Their capacity is central to stimulating and diversifying the country’s fragile economy. The number of underprivileged youth who are unemployed and out-of-school tripled in the 1990s and is now estimated at 12 million. The Filipino Govt. identified the need for these youth to access vocational training in employable areas such as IT. As a result, our partner the Philippines’ DSWD, approached EWB for help with modernizing their youth programming.",Canada,Toronto,Ontario,0.00,22000.00,22000.00,0,0,,2021-11-25T02:23:14-05:00,Digital Literacy,6
895,false,retired,2005-01-15T14:59:20-05:00,E-Commerce for Farmers Program,The Program has reached its second phase of bridging the digital divide for farmers and fisherfolks in the countryside by providing income diversification through the sale of IT products and services.,Digital Literacy,"1.Training of Cooperatives to establish b2bcenters in their municipality . 
2.Establish b2bcenters venture as income alternative 
3.Training cooperative in using b2bcenters for trading, knowledge dissemination, and enterprise development.","The program aims to develop the information technology understanding  of rural residents and create additional livelihood based on the sale of IT products and services. The program aims to establish 1,500 b2bcenters nationwide.",The Philippines as well as other agriculture-based countries has an average of 3-5% digital literacy rate and 70% of those “digital-knowledge challenged” are living below the poverty line.  The use of information technology to the agriculture sector brings the biggest opportunity to catapult millions of the world’s farmers and fisherfolks to the new economy.,Philippines,Makati  City,Metro Manila,4000.00,220000.00,216000.00,1,0,,2021-11-25T02:23:14-05:00,Digital Literacy,6
945,false,retired,2005-01-17T12:07:45-05:00,Harnessing Migrants & Remittances for Development,"Empowering migrant laborers to save and invest remittances in microenterprises that create jobs and local opportunities, such as processing of coconut husks as marketable, commercial goods.",Economic Growth,"Unlad conducts feasibility analysis and planning, facilitates technology and knowledge transfer, installs and maintains management and financial systems, assists in R&D, and conducts social and economic impact study.","One plant with production capacity of 5 tons of coir fiber per day will produce: $17,727 per year (income from husk), $184,364 per year (gross income from fiber), 28 full time jobs, 21 contractual jobs, and 50 women final good producers.","Over 7.5 million Filipino migrants work overseas because of lack of local opportunities. In 2003, they sent $7.9 billion in remittances to their families for basic needs and personal consumption. Unlad helps to channel remittances and manage sustainable projects like coco coir production, a waste by-product of coconuts. There are numerous commercial uses like geo-textiles, planters, peet and soil. This will benefit a population of 446,191 in Davao Oriental with a poverty rate of 62%.",Philippines,Quezon City,,0.00,65000.00,65000.00,0,0,,2021-11-25T02:23:14-05:00,Economic Growth,6
947,false,retired,2005-01-17T12:46:41-05:00,Child Health Nutrition Program,"Improving the nutritional status of children by improving the feeding, caring, hygiene and health seeking practices of caregivers using Hearth and the Positive Deviance approach.",Physical Health,Children under 2 are weighed. High protein and calorie recipes from local sources are given to malnourished (hearth) children. Families are educated about feeding and caring hygiene.,"About 1000 children participate; 65% will gain 200 grams. About 500 caregivers will gain skills in feeding, caring, hygiene and health seeking practices which they can continuously share with other caregivers.","28% of Filipino children under the age of 5 are moderately or severely underweight. The overarching cause of malnutrition is lack of knowledge in using locally available affordable foods, as well as poor feeding, caring, hygiene, and health seeking practices of caregivers. Existing interventions are heavily focused on supplemental feeding, which are unsustainable.  About 1000 children aged 6 to 24 months and their caregivers in five poorest rural communities will benefit from this project.",Philippines,Quezon City,,100.00,29938.00,29838.00,1,0,,2021-11-25T02:23:14-05:00,Physical Health;Mental Health,6
1101,false,retired,2005-08-30T08:47:34-04:00,Micro-Loans to 56 Rice Farmers in the Philippines,"Farmers borrow from money-lenders at 25% per 100 days. Loans from the ECLOF buy supplies to cultivate crops, expand activities and help farmers make a profit and improve their standard of living.",Economic Growth,"Loans to farmers are used to buy seed, supplies and other farm income-generating activities. Repaid loans revolve and are lent to more farmers during the next farming cycle, so a contribution works indefinitely. Interest pays administrative costs.","Increased family income will ensure better family nutrition (better food), children's education, improved living conditions (people usually improve their homes, fix leaking roofs, etc.), expansion of  businesses and a rise out of poverty.","Rice farmers face many problems that limit their possibilities for growth. ECLOF seeks lending capital (not administration funds) to increase their capital and extend lending activities. The loans will reduce the farmers' finance costs from money lenders, and provide additional savings: from buying supplies in bulk to getting better selling prices by selling together. Each farmer should expect more than $100 in savings or increased income from the loans, up to 10% of their annual income.",Switzerland,1211 Geneva 2,Switzerland,5709.00,11000.00,5291.00,122,1,2007-05-18T13:29:06-04:00,2021-11-25T02:23:14-05:00,Economic Growth,6
1265,false,funded,2005-12-08T09:55:45-05:00,"Protecting the 32,000-Hectare Tubbataha Reefs","The project will help provide the necessary incentives, training and logistical support that the marine park rangers need to maintain exemplary performance in protecting the Tubbataha Reefs.",Climate Action,"The project will have two main activities: enforcement and visitor management, which includes training, maintenance and improvement of the ranger station; surveillance, patrol and environmental education and a publicity campaign.","Direct benefits from tourism and fishery and indirect benefits from larval dispersal are estimated to reach a net value of $1.28 million (assuming 10% discount rate for 20 years), provided current enforcement and management efforts are maintained.","The Tubbataha Reefs supports fisheries in the Sulu Sea and also draws tourists internationally. They  contribute about $4.5 million in tourism revenues to the local economy. The fisheries and tourism benefits from the park are about $16.8 million. The  social willingness to pay is estimated at $4 million. An enforcement program introduced by WWF in 1999 made Tubbataha one of the few effectively managed marine-protected areas in the country. The program requires an annual budget of $120,000.",Philippines,Quezon City,Philippines,25879.00,20000.00,0.00,95,3,2006-09-19T17:11:04-04:00,2021-11-25T02:23:16-05:00,Climate Action,6
1333,false,funded,2006-02-22T14:57:07-05:00,Support Relief for Philippines Mudslide Victims,This project will support health and rehabilitation efforts for the victims and their families.,Economic Growth,"Contributions will enable our project partner, St. Scholastica's College of Health Sciences, to provide medical care and shelter, including purchasing medicine, food, blankets and other necessities.",Contribute to the rehabilitation of a community that has been destroyed by the mudslide. Those who survived will need to be resettled elsewhere.,"On Feb. 17, 2006, heavy rains caused a massive mudslide in the central Philippines. Mudslides buried the village of Guinsagon and swamped an elementary school; it is feared that 1,800 have died. There is a need for blankets, food and shelter, medicine, and other supplies for survivors, evacuees from surrounding villages, and their families.",Philippines,Tacloban City,Leyte,4980.00,10000.00,5020.00,51,1,2007-07-17T21:38:57-04:00,2021-11-25T02:23:16-05:00,Economic Growth,6
