id,active,status,summary,title,theme,themename,ContactCountry,funding,goal,donations,reports,remaining
182,false,funded,Enable the community of Barangay Sab-a to improve their health and use their time for economic development by building and maintaining a sustainable safe water & sanitation system.,Safe Water & Latrines for Village in Philippines,Physical Health,Physical Health;Clean Water,United States,1290.40,15400.00,31,1,14109.60
774,false,funded,"The project focuses on the promotion of a sustainable agricultural technology, led and devised by indigenous peoples in the Philippines.",Kalinga Mission (KAMICYDI),Climate Action,Climate Action;Ecosystem Restoration;Sustainable Agriculture,United States,980.40,5000.00,62,0,4019.60
815,false,retired,The Program bridges the digital divide for farmers and fisherfolks in the countryside by providing them non-traditional livelihood through the use and sale of IT products and services.,E-Commerce for Farmers Program,Digital Literacy,Digital Literacy,Philippines,640.40,24000.00,30,0,23359.60
828,false,retired,Engineers Without Borders' Scala Program improves the employment opportunities for underprivileged Filipino youth by establishing Computer Livelihood Training Centers (CLTCs).,New Employment Opportunities for Filipino Youth,Digital Literacy,Digital Literacy,Canada,0.00,22000.00,0,0,22000.00
895,false,retired,The Program has reached its second phase of bridging the digital divide for farmers and fisherfolks in the countryside by providing income diversification through the sale of IT products and services.,E-Commerce for Farmers Program,Digital Literacy,Digital Literacy,Philippines,4000.00,220000.00,1,0,216000.00
945,false,retired,"Empowering migrant laborers to save and invest remittances in microenterprises that create jobs and local opportunities, such as processing of coconut husks as marketable, commercial goods.",Harnessing Migrants & Remittances for Development,Economic Growth,Economic Growth,Philippines,0.00,65000.00,0,0,65000.00
947,false,retired,"Improving the nutritional status of children by improving the feeding, caring, hygiene and health seeking practices of caregivers using Hearth and the Positive Deviance approach.",Child Health Nutrition Program,Physical Health,Physical Health;Mental Health,Philippines,100.00,29938.00,1,0,29838.00
1101,false,retired,"Farmers borrow from money-lenders at 25% per 100 days. Loans from the ECLOF buy supplies to cultivate crops, expand activities and help farmers make a profit and improve their standard of living.",Micro-Loans to 56 Rice Farmers in the Philippines,Economic Growth,Economic Growth,Switzerland,5709.00,11000.00,122,1,5291.00
1265,false,funded,"The project will help provide the necessary incentives, training and logistical support that the marine park rangers need to maintain exemplary performance in protecting the Tubbataha Reefs.","Protecting the 32,000-Hectare Tubbataha Reefs",Climate Action,Climate Action,Philippines,25879.00,20000.00,95,3,0.00
1333,false,funded,This project will support health and rehabilitation efforts for the victims and their families.,Support Relief for Philippines Mudslide Victims,Economic Growth,Economic Growth,Philippines,4980.00,10000.00,51,1,5020.00
1357,false,retired,Promote the use of retrofitted two-stroke vehicles by Filipino taxi drivers. These vehicles significantly reduce emissions and fuel consumption and enable drivers to save money and increase income.,Retrofit Dirty 2-Stroke Vehicles in Philippines,Climate Action,Climate Action,United States,5564.00,460000.00,82,2,454436.00
1726,false,funded,"Working with Alternative Indigenous Development Foundation, Inc., an innovative pump will bring clean running water to 270 people in the hillside Sitio Tinumpagan village in the Philippines.",Clean water for 270 Filipino Villagers,Physical Health,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Physical Health;Clean Water,United States,350.00,50.00,3,2,0.00
1731,false,retired,"500 trained volunteers in 20 of the poorest municipalities provide 10,000 handicapped persons with basic rehabilitation services to make them optimally self-reliant.","10,000 Disabled Persons on the go..wow!",Physical Health,Physical Health;Disability Rights;Mental Health,Philippines,7441.21,20000.00,193,25,12558.79
1893,false,retired,"To test the feasibility of growing mangos organically in the Philippines, allowing the local farmers to produce a valuable product that competes with larger commercial and international markets.",Organic Mangoes in the Philippines,Economic Growth,Economic Growth,United States,145.00,8000.00,5,0,7855.00
1910,false,retired,"Through 6 ""Belen Drop in Centers,"" 3 ""Nazareth Growth Homes,"" and 2 ""Bethany Transition Homes,"" survivors of incest, rape and the sex trade are ministered to for healing, leading to a new life.",Towards New Life for 5000 Filipino Sex Survivors,Justice and Human Rights,Justice and Human Rights;Ending Abuse,Philippines,3999.84,98000.00,44,1,94000.16
1931,false,funded,"On the island of Negros, in the Philippines, an innovative pump will bring clean running water to thousands of people in 12 villages and encourage watershed conservation within these communities",Clean Water and Conservation in the Philippines,Climate Action,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Climate Action;Climate Action;Ecosystem Restoration,United States,10849.85,9500.00,328,15,0.00
2039,false,funded,A community-based micro-hydro power (MHP) system will be installed to provide household lighting and run community-based corn mill enterprises allowing people to secure food and income.,"Micro Hydro Power for 1,000 People in Philippines",Climate Action,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Climate Action;Climate Action;Ecosystem Restoration;Physical Health;Clean Water;Mental Health;Sustainable Agriculture,United States,6510.14,15000.00,145,11,8489.86
2074,false,funded,"This campaign seeks to mobilize books and other resources for Global Education and Interfaith activities involving at least 500 children in Manila, Philippines.",Youth Interfaith Book Campaign in the Philippines,Education,Education,Philippines,30.00,6000.00,3,0,5970.00
2168,false,retired,Smile Train is dedicated to helping the hundreds of thousands of children in the Philippines who suffer from unrepaired cleft lips & palates with free surgery.  They will have new smiles and new hopes,Free Cleft Surgery for 400 Filipino Children,Physical Health,Physical Health;Reproductive Health,United States,17157.00,90000.00,305,12,72843.00
2268,false,retired,"This project provides affordable healthcare to needy Filipinos through the establishment of a charity hospital that performs free cataract surgery, cleft palate surgery, prosthetic limbs, distributes free eye glasses. It also provides free mother child family clinics, midwiferey training, and satellite birthing centers",Helping People Afford Basic Healthcare,Physical Health,Physical Health;Refugee Rights;Reproductive Health,United States,2910.00,20000.00,63,41,17090.00
2389,false,retired,500 model farmers will be trained on organic farming  to increase their production at the same time mitigate climate change. They will establish model farms and teach the technologies to other farmers,500 Farmers Go Organic Farming-Philippines,Climate Action,Climate Action;Ecosystem Restoration;Sustainable Agriculture,Philippines,220.00,40000.00,3,0,39780.00
2529,false,funded,"This project helps pull micro-entrepreneurs out of the cycle of debt. Donations provided help fund financial literacy training, pay off moneylender debts, and offer commitment savings accounts.",Help Vendors Climb Out of Debt in the Philippines,Economic Growth,Economic Growth;Disability Rights,United States,14930.00,15000.00,126,5,70.00
2752,false,retired,"A 40kW hydro–electric system will be built with YAMOG to bring renewable electricity to 1800 people and community facilities in the village of Upper Sepaka, Surallah municipality, Philippines.",Sustainable electricity for a Filipino village,Climate Action,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Climate Action,United States,70.00,30000.00,6,0,29930.00
3898,false,retired,"Massive rains from Tropical Storm Ketsana have caused severe flooding. As of 10/1, the death toll is 277, and hundreds of thousands of residents have lost their homes.",Philippines Flood Disaster Recovery Fund,Disaster Response,Animal Welfare;Child Protection;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Justice and Human Rights;Digital Literacy;Food Security;Disaster Response;Safe Housing,United States,20844.52,50000.00,440,2,29155.48
3916,true,active,"Your donation will support initiatives to help partner people's organizations, institutions and communities increase capacities  on resiliency and  safety such as knowledge generation and sharing and conduct of activities that support advocacy on climate change adaptation, mitigation and environmental  protection and mobilizing resources for distribution of emergency relief goods for the recovery of victims of calamities in the Philippines (e.g. providing psychological trauma interventions).",Philippines Recovery Efforts Led by Local Experts,Disaster Response,Peace and Reconciliation;Education;Digital Literacy;Arts and Culture;Disaster Response;Climate Action,Philippines,86077.51,150000.00,1204,55,63922.49
4054,false,retired,Partner with department of education in a pilot program where 900 schoolchildren of Christian and Muslim background will learn skills in peace building and conflict prevention through service-learning,Empowering 900 Filipino Youth in Peace Building,Justice and Human Rights,Justice and Human Rights,United States,990.00,35000.00,23,1,34010.00
4492,false,funded,"Opportunity and its network of nine Philippines microfinance organizations started operations in Manila in 1981 and currently serve over 600,000 active clients.",Microloans to 16 Entrepreneurs in the Philippines,Economic Growth,Economic Growth,United States,1060.00,1000.00,31,7,0.00
4725,false,funded,"We are building a life competence center that provides 600 street youth alternative learning, life skills, tutorial and income generation that bring them back to formal schooling.",Bring back 600 Filipino street children to school,Economic Growth,Economic Growth,Philippines,930.00,90000.00,25,1,89070.00
4881,true,active,"We teach children their rights, and improve their plight by teaching them to save and invest. This is an alternative learning venue that empowers children to end the cycle of poverty.","Teach 15,000 rural kids to save and invest",Education,Child Protection;Climate Action;Economic Growth;Education;Gender Equality;Digital Literacy;Education,Philippines,5619.06,10000.00,103,97,4380.94
4906,false,retired,"Providing low-cost arborloos and using human waste for vegetable gardening and tree planting. This will solve diseases, save valuable organic fertilizer and improve health and food security.",Ecological Sanitation and Food Security Project ,Climate Action,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Climate Action,Philippines,475.00,20000.00,10,0,19525.00
5765,false,retired,The project will build 6 mini dams in Bohol to catch water from the mountains and channel to drought-stricken farmlands of 100 poor rice farmers. This adds one cropping season and doubles their income,Build minidams for 100 poor farmers in Philippines,Climate Action,Child Protection;Disaster Response;Education;Ecosystem Restoration;Physical Health;Climate Action,Philippines,424.00,29000.00,16,0,28576.00
6010,false,funded,"Setting up of pre-school in a farming community in Mindanao, Philippines.  Local teachers will be trained to enable and empower children. Early childhood development, family literacy and livelihood. ",Early education for sustainability in Philippines,Education,Education,Philippines,360.00,20000.00,12,1,19640.00
6058,false,funded,Overfishing in the Coral Triangle threatens not only the richest concentration of marine biodiversity in the world but also the livelihoods and food source of more than 120 million people.,Reduce Overfishing in the Coral Triangle,Climate Action,Climate Action,United States,2959.28,21000.00,46,7,18040.72
6080,false,funded,The project provides grants for street youth groups to start their own YouthLEAP venture that allows them to engage in business that improve their productivity and sustain their behavior change goals,"Yearn, Learn & Earn through Peer Entrepreneurship",Arts and Culture,Arts and Culture,Philippines,40.00,45000.00,4,0,44960.00
6300,false,funded,Provision of arborloo toilets and seed packets for gardens to 500 farmers will improve their sanitation and food security situation and will enhance their overall quality of life.,Ecological Sanitation and Food Security Project,Climate Action,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Climate Action,Philippines,35.00,5000.00,2,0,4965.00
6312,false,retired,"Poor villagers in Paang Bundok, San Celestino in Lipa, Batangas will be provided clean water directly to their houses for drinking, sanitation, backyard gardening, and livestock raising.",Provide water access to 435 poor Filipinos,Physical Health,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Digital Literacy;Food Security;Physical Health;Clean Water,Philippines,7878.02,15000.00,184,11,7121.98
6372,false,funded,"This project aims to support disaster-affected youths in the community of Banaba, which is on the outskirts of Manila.",Support Disaster Affected Filipino Youth,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Climate Action;Arts and Culture;Sustainable Agriculture,Haiti,1038.43,3000.00,41,22,1961.57
6627,false,funded,"The community of Banaba has always faced flooding, but thanks to climate change, their ""New Normal"" is increased levels and amounts of flooding. These floods have a massive impact on the health of the community. This project will provide the funds needed to ensure Banaba's residents can stay healthy following yearly disasters.",Health Care and Education for Disaster Survivors,Physical Health,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Physical Health;Disaster Response;Education;Clean Water,United States,3810.50,5000.00,65,21,1189.50
6648,false,funded,"A little help goes a long way for a small business owner in the Philippines. Entrepreneurial, these Filipinos can utilize loans for the improvement of their lives and communities.",Raise Capital for Entrepreneurs in the Philippines,Economic Growth,Economic Growth,United States,1075.00,1000.00,34,12,0.00
6707,false,retired,"The project will provide low-cost dry latrines, support vegetable gardening and raising of small animals and provide capacity-building activities for marginalized farmers and coastal dwellers.","Health, Sanitation and Food Security Project",Climate Action,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Climate Action,Philippines,8654.17,30000.00,154,17,21345.83
6759,false,funded,30 emerging leaders from most unheard voices in the Philippine HIV response embarks in a dialogue with Asia Society Fellows to learn and share knowledge that stimulate community-driven response,Learning from Unheard Voices: A Dialogue,Justice and Human Rights,Justice and Human Rights,Philippines,180.00,10000.00,5,1,9820.00
6879,false,funded,"The project mobilizes young Muslims to be a volunteer for peace, enabling them, especially women, to participate in the peace process and decision making, and encouraging them to become future leaders",Invest in Muslim youth volunteering for peace,Peace and Reconciliation,Peace and Reconciliation,Philippines,12865.02,30000.00,239,44,17134.98
7328,false,retired,The Mindanao Ecolife Hub is organized with the main aim of bringing the power of the web to positively affect the lives of the poor.,Mindanao Ecolife Hub ,Digital Literacy,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Digital Literacy,Philippines,595.00,15000.00,12,10,14405.00
7569,false,funded,This project will rebuild a typhoon-damaged microhydro power plant to provide lighting and improve the livelihood of poor households on the Rapu-rapu island in Albay.,"Hydro Power for 1,000 Albay Fisherfolk",Economic Growth,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Digital Literacy;Food Security;Economic Growth;Climate Action;Disaster Response,Philippines,10318.47,35000.00,43,3,24681.53
7790,true,active,"CANVAS works with local artists and writers to publish original picture books that are then donated directly to children in public schools and poor communities throughout the Philippines. For many of the kids, ours is the very first book they get to call their own, and the effect can be profound and even life changing. We hope to give away one million books to one million children in the next 5-10 years.",Give Books to Children in the Philippines,Education,Child Protection;Education;Justice and Human Rights;Arts and Culture;Education;Arts and Culture,Philippines,37005.16,50000.00,1436,47,12994.84
8496,true,active,"In 2014, AAI began sponsorship for 100 children with genetic diseases at the Philippine Society for Orphan Disorders in Manila. In the first year, 49 of our 50 patients became cancer-free. We have since added 100 children at the House of Hope Center in Davao. AAI provides life-saving nutrition and gifts to help with trauma and healing. Their families may earn less than $5 per day. The program includes nutrition, art supplies, storybooks, and toys to instill positive attitudes, love, and care.",Cancer treatment for 20 children and 30 women,Physical Health,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Physical Health;Child Protection;Gender Equality;Disability Rights,United States,58576.38,75000.00,958,43,16423.62
8762,false,retired,"Community-based small scale renewable energy projects are harnessing hydro, solar and/or wind power providing clean/affordable energy to rural poor Filipino villagers. To replicate these projects in other rural poor villages while ensuring efficiency and sustainability, SIBAT will establish ""Center for Renewable Energy & Appropriate Technology (CREATech)"" in Brgy. Estrada, Capas, Tarlac Province to provide trainings, information and local fabrication of parts for ~4,000 poor families.","RenewableEnergy: Empowering 4,000 FilipinoFamilies",Education,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Digital Literacy;Food Security;Education;Climate Action;Economic Growth;Digital Literacy;Climate Action;Economic Growth;Digital Literacy,Philippines,2417.59,80000.00,39,7,77582.41
8922,false,retired,"For 29 years now, SIBAT provides assistance and agricultural services in clean/organic food production to more than 500 Philippine rural poor communities. These enabled poor farmers to convert from hazardous intensive chemical farming practices to clean production and climate change adaptation production system. To further promote and enable more farmers, SIBAT will build a demonstration farm and resource center ""Sustainable Agriculture Training Center (SATC)"" located in Central Luzon, Phils",Ensure Food for 500 Poor Filipino Villages,Food Security,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Digital Literacy;Food Security;Food Security;Climate Action;Education;Sustainable Agriculture,Philippines,2379.32,40000.00,66,8,37620.68
9504,true,active,"Mothers and babies die unnecessarily during childbirth in the Philippines because often families don't have money to pay a skilled birth attendant. Mercy In Action midwives provide free childbirth services and education to empower women through evidence-based maternity services and birth. Empowered mothers have healthier babies and become powerful agents of change for the family, which results in our maternal and neonatal mortality rates being 4-times lower than the country of the Philippines.",Birth Center Saves MotherBaby Lives in Philippines,Physical Health,Child Protection;Gender Equality;Physical Health;Physical Health;Child Protection;Justice and Human Rights,United States,112592.22,150000.00,1655,48,37407.78
