COST,GROSS PROFIT,GROSS SALES,file_name,month,year
78803.03,111371.22,190174.25,festival kiosk.xls,1,2019
89151.35,113609.43,202760.78,festival kiosk.xls,2,2019
78833.34,103269.41,182102.75,festival kiosk.xls,3,2019
71680.27,105413.73,177094.0,festival kiosk.xls,4,2019
82077.84,122741.66,204819.5,festival kiosk.xls,5,2019
92348.48,141288.97000000003,233637.45,festival kiosk.xls,6,2019
67297.06,100247.19,167544.25,festival kiosk.xls,7,2019
63126.84,93739.11000000002,156865.95,festival kiosk.xls,8,2019
82918.53,118768.12,201686.65,festival kiosk.xls,9,2019
74465.05,109044.73,183509.78,festival kiosk.xls,10,2019
97413.43,135923.08000000002,233336.51,festival kiosk.xls,11,2019
296389.18,408280.72000000003,704669.9,festival kiosk.xls,12,2019
45403.41,72208.95999999999,117612.37,sm cagayan.xls,1,2019
31627.18,50727.07,82354.25,sm cagayan.xls,2,2019
52035.33,82277.17,134312.5,sm cagayan.xls,3,2019
31318.16,55214.98999999999,86533.15,sm cagayan.xls,4,2019
53443.62,87085.03,140528.65,sm cagayan.xls,5,2019
48575.71,85145.29000000001,133721.0,sm cagayan.xls,6,2019
45137.91,65237.59,110375.5,sm cagayan.xls,7,2019
46170.64,72483.51,118654.15,sm cagayan.xls,8,2019
30575.26,47570.490000000005,78145.75,sm cagayan.xls,9,2019
53688.75,63991.25,117680.0,sm cagayan.xls,10,2019
59279.52,79724.28,139003.8,sm cagayan.xls,11,2019
144775.94,197115.31,341891.25,sm cagayan.xls,12,2019
81155.31,113412.82,194568.13,gaisano digos.xls,1,2019
66482.77,98606.11,165088.88,gaisano digos.xls,2,2019
80400.65,119978.1,200378.75,gaisano digos.xls,3,2019
62784.06,103777.69,166561.75,gaisano digos.xls,4,2019
84907.35,141780.28,226687.63,gaisano digos.xls,5,2019
81003.28,120459.97,201463.25,gaisano digos.xls,6,2019
83033.45,123726.8,206760.25,gaisano digos.xls,7,2019
59879.07,88644.56,148523.63,gaisano digos.xls,8,2019
68595.69,92623.06,161218.75,gaisano digos.xls,9,2019
45013.74,70020.76000000001,115034.5,gaisano digos.xls,10,2019
102544.95,127933.90999999999,230478.86,sm san lazaro.xls,1,2019
73124.23,87742.40000000001,160866.63,sm san lazaro.xls,2,2019
93228.87,123327.13,216556.0,sm san lazaro.xls,3,2019
83544.77,112585.00000000001,196129.77000000002,sm san lazaro.xls,4,2019
